subject,accuracy,f1,method
1,0.5953541726412389,0.5640688695110224,Zscore_SVM
2,0.6366504158302265,0.6253903396481095,Zscore_SVM
3,0.5159162603957557,0.5133810706481989,Zscore_SVM
4,0.532836248924577,0.5185532022436641,Zscore_SVM
5,0.5976484083739604,0.5789898408737446,Zscore_SVM
6,0.59707484944078,0.5722722625740374,Zscore_SVM
7,0.7106395182104961,0.6867034673908509,Zscore_SVM
8,0.5514769142529395,0.5265176567841352,Zscore_SVM
9,0.5953541726412389,0.6046066875693245,Zscore_SVM
10,0.6409521078290794,0.6057072909518099,Zscore_SVM
11,0.7054774878118727,0.6728040052246519,Zscore_SVM
12,0.6963005448809865,0.6804672176491006,Zscore_SVM
13,0.6443934614281618,0.6174836623082385,Zscore_SVM
14,0.6759392027530828,0.6452983763346137,Zscore_SVM
15,0.6176554886787045,0.623937416941635,Zscore_SVM
16,0.658158875824491,0.6370050228638087,Zscore_SVM
17,0.5778606251792372,0.5053441287444649,Zscore_SVM
18,0.6489819328936048,0.6246219808725323,Zscore_SVM
19,0.6291941496988815,0.5817743034221361,Zscore_SVM
20,0.6154287353025524,0.5404793250534495,Zscore_SVM
